case_id,drive_offset_mm,phase_step_deg,length_ratio_label,L1_ratio,L2_ratio,L3_ratio,plan_mean_error_mm,plan_max_error_mm,replay_mean_error_mm,replay_max_error_mm,max_force_N,max_drive_disp_mm,max_jl_condition,mean_jl_condition,max_iterations,mean_iterations,constraint_utilization,constraint_failures,ik_failures,replay_exit_failures,feasible,objective_score,failure_message
10,3,50,1:1:1,1,1,1,0.0334367165306216,0.155722889406074,0.0569453674157407,0.157365436145897,182.375022651102,2.35445990893811,4.04891733952231,4.04891733952231,3,2.40740740740741,4.59895944899397,3,51,0,0,170.477596796654,
1,3,20,1:1:1,1,1,1,0.0334367165306216,0.155722889406074,0.0569453072768184,0.157365438245607,182.377147520257,2.3544599092252,4.04891733952231,4.04891733952231,3,2.40740740740741,4.59902772952103,3,51,0,0,170.477608609968,
48,4.5,20,0.8:1:1.2,0.8,1,1.2,0.0306371297545563,0.148271310882141,0.039393815053567,0.148887060781121,106.422376389942,3.88077622802413,3.78166523582299,3.78166523582299,3,2.55555555555556,6.12439128624394,3,51,0,0,170.47831308012,
57,4.5,50,0.8:1:1.2,0.8,1,1.2,0.0306371297545563,0.148271310882141,0.039394047583812,0.148887058411549,106.427255979008,3.88077622798634,3.78166523582299,3.78166523582299,3,2.55555555555556,6.12439128619475,3,51,0,0,170.478340179458,
58,4.5,60,1:1:1,1,1,1,0.0334367165306216,0.155722889406074,0.0421849497306456,0.156203420104469,120.602973507244,3.53553685669228,4.04891733952231,4.04891733952231,3,2.53703703703704,5.29316579249675,3,51,0,0,170.487672787069,
49,4.5,30,1:1:1,1,1,1,0.0334367165306216,0.155722889406074,0.0421850377860133,0.156203422375873,120.620597683779,3.5355368565598,4.04891733952231,4.04891733952231,3,2.53703703703704,5.29316579214456,3,51,0,0,170.487770708206,
55,4.5,50,1:1:1,1,1,1,0.0334367165306216,0.155722889406074,0.0421850422089661,0.156203420011735,122.758561103414,3.53553685649907,4.04891733952231,4.04891733952231,3,2.53703703703704,5.29316579213685,3,51,0,0,170.499648273285,
46,4.5,20,1:1:1,1,1,1,0.0334367165306216,0.155722889406074,0.0421849533737114,0.156203422214436,122.763564055467,3.53553685679754,4.04891733952231,4.04891733952231,3,2.53703703703704,5.29316579251016,3,51,0,0,170.499676076364,
54,4.5,40,0.8:1:1.2,0.8,1,1.2,0.0306371297545563,0.148271310882141,0.0393940303580426,0.148887059886908,111.878653931974,3.88077622798877,3.78166523582299,3.78166523582299,3,2.55555555555556,6.12439128619136,3,51,0,0,170.508625729544,
7,3,40,1:1:1,1,1,1,0.0334367165306216,0.155722889406074,0.0569453945639999,0.157365437252664,192.366240224673,2.3544599088926,4.0489173395223,4.0489173395223,3,2.40740740740741,4.68550097134507,3,51,0,0,170.533103565365,
52,4.5,40,1:1:1,1,1,1,0.0334367165306216,0.155722889406074,0.0421850832457131,0.156203421125813,129.50015870633,3.53553685645056,4.04891733952231,4.04891733952231,3,2.53703703703704,5.29316579200802,3,51,0,0,170.537101597743,
14,3,60,1.2:1:0.8,1.2,1,0.8,0.0385672083935816,0.167890249476718,0.0659028366059755,0.169218274902348,188.108591710007,2.19424747521386,4.94140210330415,4.94140210330415,3,2.48148148148148,4.39539504703638,3,52,0,0,173.525614347819,
5,3,30,1.2:1:0.8,1.2,1,0.8,0.0385672083935816,0.167890249476718,0.0659034261769723,0.169218276466668,188.1285558063,2.19424747406724,4.94140210330416,4.94140210330415,3,2.48148148148148,4.3958640995323,3,52,0,0,173.525725265375,
11,3,50,1.2:1:0.8,1.2,1,0.8,0.0385672083935816,0.167890249476718,0.0659030966853422,0.16921827479754,192.614728690726,2.19424747434772,4.94140210330416,4.94140210330415,3,2.48148148148148,4.76686132926119,3,52,0,0,173.550648441475,
2,3,20,1.2:1:0.8,1.2,1,0.8,0.0385672083935816,0.167890249476718,0.0659034006560771,0.169218276398605,192.623490320898,2.19424747472821,4.94140210330416,4.94140210330416,3,2.48148148148148,4.76707771600767,3,52,0,0,173.550697123718,
8,3,40,1.2:1:0.8,1.2,1,0.8,0.0385672083935816,0.167890249476718,0.065903317383411,0.169218275561692,202.589652387924,2.19424747392803,4.94140210330416,4.94140210330415,3,2.48148148148148,4.8753921631182,3,52,0,0,173.606064687167,
